data_id	role	ancestry	phenotype	source	url	file_name	genome_build	sample_n	access	priority	notes
ckdgen_stanzick2021_egfr_eur	outcome	EUR	eGFRcrea	CKDGen	https://ckdgen.imbi.uni-freiburg.de/files/Stanzick2021/metal_eGFR_meta_ea1.TBL.map.annot.gc.gz	metal_eGFR_meta_ea1.TBL.map.annot.gc.gz	GRCh37	1004040	public	1	Primary EUR quantitative kidney-function outcome
ckdgen_wuttke2019_ckd_eur	outcome	EUR	CKD	CKDGen	https://ckdgen.imbi.uni-freiburg.de/files/Wuttke2019/CKD_overall_EA_JW_20180223_nstud23.dbgap.txt.gz	CKD_overall_EA_JW_20180223_nstud23.dbgap.txt.gz	GRCh37	480698	public	1	Binary CKD; 41,395 cases and 439,303 controls
ckdgen_wuttke2019_bun_eur	support	EUR	BUN	CKDGen	https://ckdgen.imbi.uni-freiburg.de/files/Wuttke2019/BUN_overall_EA_YL_20171108_METAL1_nstud24.dbgap.txt.gz	BUN_overall_EA_YL_20171108_METAL1_nstud24.dbgap.txt.gz	GRCh37		public	2	Alternative renal biomarker
ckdgen_gorski2017_egfrcys_eur	support	EUR	eGFRcys	CKDGen	https://ckdgen.imbi.uni-freiburg.de/files/Gorski2017/CKDGen_1000Genomes_DiscoveryMeta_eGFRcys_overall.csv.gz	CKDGen_1000Genomes_DiscoveryMeta_eGFRcys_overall.csv.gz	GRCh37	24061	public	2	Alternative filtration biomarker
ckdgen_teumer2019_uacr_eur	support	EUR	UACR	CKDGen	https://ckdgen.imbi.uni-freiburg.de/files/Teumer2019/formatted_20180517-UACR_overall-EA-nstud_18-SumMac_400.tbl.rsid.gz	formatted_20180517-UACR_overall-EA-nstud_18-SumMac_400.tbl.rsid.gz	GRCh37		public	3	Albuminuria secondary phenotype
eas_chen2024_egfr_meta	outcome	EAS	eGFRcrea	Figshare	https://ndownloader.figshare.com/files/42774049	TWB2_BBJ_eGFR_hg19_METAL_FUMA_noNA.gz	GRCh37	244952	public	1	Taiwan Biobank + Biobank Japan discovery meta-GWAS; Figshare article 24356587; 111,041,990 bytes
eas_chen2024_bun_meta	support	EAS	BUN	Figshare	https://ndownloader.figshare.com/files/43218600	TWB2_BBJ_BUN_hg19_METAL_FUMA_noNA.gz	GRCh37	241112	public	2	Taiwan Biobank + Biobank Japan BUN meta-GWAS; 132,381,963 bytes
ukb_ppp_synapse_project	exposure	EUR/EAS	plasma_pQTL	UKB-PPP	https://www.synapse.org/Synapse:syn51364943	SEE_EXISTING_MANIFEST	GRCh38	54219	public_with_synapse_client	1	Use existing data/metadata/ukb_ppp_download_manifest.tsv; download full cis regions only after MR screening
koges_ckd_individual	validation	KOR	longitudinal_eGFR_incident_CKD	KoGES/CODA	RESTRICTED	RESTRICTED	Korean_array_imputed		application_required	1	Do not automate download; individual-level data requires approved application/IRB
