ancestry	gene_symbol	source_file	url	expected_size_bytes	sha256	md5	synapse_id	synapse_parent_id	pipeline_batch_id	raw_lifecycle	raw_cleanup_at	raw_cleanup_reason
EUR	ADAM12	ADAM12_O43184_OID30491_v1_Inflammation_II.tar	https://www.synapse.org/Synapse:syn52361300	545515520		feb6aacfd956b80ad709f52e92ff9c24	syn52361300	syn51365303				
EUR	ADAM15	ADAM15_Q13444_OID20109_v1_Cardiometabolic.tar	https://www.synapse.org/Synapse:syn51470500	546693120		9e7db381aac82db60f1a1deccf19cb50	syn51470500	syn51365303				
EUR	ADAM22	ADAM22_Q9P0K1_OID21001_v1_Neurology.tar	https://www.synapse.org/Synapse:syn51470175	547553280		ab38a0e3c40946af2b669632c48a7a0e	syn51470175	syn51365303				
EUR	ADAM23	ADAM23_O75077_OID20651_v1_Inflammation.tar	https://www.synapse.org/Synapse:syn51470197	549918720		5bec8dfad8f4016e93defb2ca9f538e9	syn51470197	syn51365303				
EUR	ADAM8	ADAM8_P78325_OID21039_v1_Neurology.tar	https://www.synapse.org/Synapse:syn51470522	548843520		a319cb489ef51ef539900fcccd054ea2	syn51470522	syn51365303				
EUR	ADAM9	ADAM9_Q13443_OID31488_v1_Oncology_II.tar	https://www.synapse.org/Synapse:syn52361982	548392960		b8a3c099d5e3f3dd1e34dcce76fbe034	syn52361982	syn51365303				
EUR	ADAMTS13	ADAMTS13_Q76LX8_OID20249_v1_Cardiometabolic.tar	https://www.synapse.org/Synapse:syn51468611	549539840		2b9ecb607eb06a17c6be633515d1c43d	syn51468611	syn51365303				
EUR	ADAMTS15	ADAMTS15_Q8TE58_OID21275_v1_Oncology.tar	https://www.synapse.org/Synapse:syn51468665	547379200		d16f2e47695695fff1cfea6bc2658299	syn51468665	syn51365303				
EUR	ADAMTS16	ADAMTS16_Q8TE57_OID20089_v1_Cardiometabolic.tar	https://www.synapse.org/Synapse:syn51469537	546088960		c1bea89762c4c05d98b8c229f7206e4d	syn51469537	syn51365303				
EUR	ADAMTS1	ADAMTS1_Q9UHI8_OID30528_v1_Inflammation_II.tar	https://www.synapse.org/Synapse:syn52363242	545484800		6847bfe08fe64a8985fd43acd7929f74	syn52363242	syn51365303				
EUR	ADAMTS4	ADAMTS4_O75173_OID30471_v1_Inflammation_II.tar	https://www.synapse.org/Synapse:syn52362436	545556480		a1ca483e8cee5377025a2b60e1cb0603	syn52362436	syn51365303				
EUR	ADAMTS8	ADAMTS8_Q9UP79_OID21502_v1_Oncology.tar	https://www.synapse.org/Synapse:syn51471347	548833280		728060672070423de8a64fc3737f52b3	syn51471347	syn51365303				
EUR	ADAMTSL2	ADAMTSL2_Q86TH1_OID30370_v1_Cardiometabolic_II.tar	https://www.synapse.org/Synapse:syn52362101	548802560		a271fdf1a3142740e4fb5539a27d851b	syn52362101	syn51365303				
EUR	ADAMTSL4	ADAMTSL4_Q6UY14_OID30275_v1_Cardiometabolic_II.tar	https://www.synapse.org/Synapse:syn52363103	545914880		e83ed9dbf51cd50b82df4c2278c35d18	syn52363103	syn51365303				
EUR	ADAMTSL5	ADAMTSL5_Q6ZMM2_OID30355_v1_Cardiometabolic_II.tar	https://www.synapse.org/Synapse:syn52361277	548997120		4b8f007f728823abb375ad5416c25c64	syn52361277	syn51365303				
EUR	ADA	ADA_P00813_OID20645_v1_Inflammation.tar	https://www.synapse.org/Synapse:syn51470111	549826560		babf30cc11bdfb689c3df6a7d24d5c29	syn51470111	syn51365303				
EUR	ADCYAP1R1	ADCYAP1R1_P41586_OID21188_v1_Oncology.tar	https://www.synapse.org/Synapse:syn51471394	545136640		e63e0b056d4bfc2dd74c9b77abcf1143	syn51471394	syn51365303				
EUR	ADD1	ADD1_P35611_OID30655_v1_Inflammation_II.tar	https://www.synapse.org/Synapse:syn52363487	546385920		8d44f8950f907bacbba9226f14d20cf2	syn52363487	syn51365303				
EUR	ADGRB3	ADGRB3_O60242_OID20974_v1_Neurology.tar	https://www.synapse.org/Synapse:syn51470778	548331520		4e93d1d545e1410a8a8c728e469f5c20	syn51470778	syn51365303				
EUR	ADGRD1	ADGRD1_Q6QNK2_OID30588_v1_Inflammation_II.tar	https://www.synapse.org/Synapse:syn52363168	547010560		bbdc734ed3f859fe42aea0e65452fa02	syn52363168	syn51365303				
EUR	ADGRE1	ADGRE1_Q14246_OID31483_v1_Oncology_II.tar	https://www.synapse.org/Synapse:syn52361743	548474880		d082b42d1edbf6601122b72c31ce8554	syn52361743	syn51365303				
EUR	ADGRE2	ADGRE2_Q9UHX3_OID20755_v1_Inflammation.tar	https://www.synapse.org/Synapse:syn51469551	548771840		820493989a0d7621709f7f880ad12d4c	syn51469551	syn51365303				
EUR	ADGRE5	ADGRE5_P48960_OID20260_v1_Cardiometabolic.tar	https://www.synapse.org/Synapse:syn51468421	548945920		5987ac6d2ce271beba218c48ff4dd43e	syn51468421	syn51365303				
EUR	ADGRF5	ADGRF5_Q8IZF2_OID30349_v1_Cardiometabolic_II.tar	https://www.synapse.org/Synapse:syn52363153	549017600		72133b91791cef6b98dbdefd49639926	syn52363153	syn51365303				
EUR	ADGRG1	ADGRG1_Q9Y653_OID21294_v1_Oncology.tar	https://www.synapse.org/Synapse:syn51469563	547655680		bd7e90e103aa7b5d47c1bb02ea47ec93	syn51469563	syn51365303				
